,year,community,property_type,area,built_year,electricity,gas,ghg,latitude,longitude,treated,ghg_efficiency,elec_efficiency,gas_efficiency,lat_bin,lon_bin,type of efficiency
21412,2022,LOOP,Data Center,160000.0,1919.0,139432401.0,0.0,18365.2,41.87621600724368,-87.6316021355216,0,114.78250000000001,871452.5062500001,0.0,41.87,-87.64,Greenhouse Gas
23930,2022,WOODLAWN,Office,99163.0,2009.0,40478338.3,91728.0,7899.6,41.78467606169153,-87.59291263987394,1,79.66277744723335,408200.01714349096,925.022437804423,41.78,-87.6,Greenhouse Gas
21170,2022,PULLMAN,Worship Facility,91800.0,1960.0,1707035.8,130570524.6,7160.1,41.696086647178035,-87.6089453328002,0,77.99673202614379,18595.16122004357,1422336.8692810456,41.69,-87.61,Greenhouse Gas
22392,2022,NEAR WEST SIDE,Data Center,104000.0,1918.0,49099102.8,0.0,6467.0,41.87187850850912,-87.64241744573332,0,62.18269230769231,472106.75769230764,0.0,41.87,-87.65,Greenhouse Gas
21718,2022,LOOP,Data Center,342883.0,1912.0,131003531.2,1294546.0,17323.8,41.87447214941229,-87.6298132150243,0,50.52393965288451,382064.81861159636,3775.4744329698465,41.87,-87.63,Greenhouse Gas
22743,2022,HYDE PARK,Laboratory,85570.0,2009.0,13358444.7,56809.0,4193.1,41.790379013384424,-87.60113496861908,0,49.00198667757392,156111.30886993103,663.8892135094076,41.79,-87.61,Greenhouse Gas
21413,2022,NEAR NORTH SIDE,Supermarket/Grocery Store,74883.0,2009.0,17852792.4,19132719.6,3367.7,41.90939878780941,-87.65305069789407,0,44.97282427253181,238409.1502744281,255501.51035615563,41.9,-87.66,Greenhouse Gas
24171,2022,HYDE PARK,Laboratory,284391.0,2015.0,42256906.8,0.0,11638.6,41.79196087387174,-87.60146169258668,0,40.924642481653784,148587.3561399622,0.0,41.79,-87.61,Greenhouse Gas
23047,2022,HYDE PARK,Laboratory,479503.0,2005.0,89788713.9,91419.0,19163.8,41.79126716396833,-87.60271128899744,0,39.96596475934457,187253.7062333291,190.65365597295533,41.79,-87.61,Greenhouse Gas
22567,2022,LINCOLN PARK,College/University,56025.0,1998.0,7542150.8,20130795.6,2062.7,41.924265261681654,-87.65706425134462,0,36.817492190986165,134621.16555109326,359318.0829986613,41.92,-87.66,Greenhouse Gas
21623,2022,ARCHER HEIGHTS,Supermarket/Grocery Store,56000.0,2003.0,10716888.2,8615851.4,1869.2,41.81391431134689,-87.7236649419466,0,33.37857142857143,191373.00357142856,153854.48928571428,41.81,-87.73,Greenhouse Gas
21062,2022,LAKEVIEW,Supermarket/Grocery Store,82147.0,2017.0,17481787.3,7335000.0,2692.2,41.93974461573451,-87.6685161010639,0,32.77295579875101,212811.02535698202,89291.14879423473,41.93,-87.67,Greenhouse Gas
20922,2022,NEAR NORTH SIDE,Laboratory,186803.0,1965.0,30657238.7,38345680.1,6074.7,41.895924108238226,-87.61954552570175,0,32.51928502218915,164115.3445073152,205273.36338281506,41.89,-87.62,Greenhouse Gas
21249,2022,HYDE PARK,Laboratory,131381.0,1969.0,16507348.0,0.0,4237.4,41.790375714510674,-87.60142828157443,0,32.25276105372923,125644.86493480793,0.0,41.79,-87.61,Greenhouse Gas
23549,2022,AVONDALE,Supermarket/Grocery Store,55024.0,1983.0,8921833.6,9560500.2,1682.9,41.946057604016254,-87.70823010980484,0,30.58483570805467,162144.4024425705,173751.45754579818,41.94,-87.71,Greenhouse Gas
21119,2022,NEAR WEST SIDE,Supermarket/Grocery Store,66000.0,2013.0,11169349.3,10089445.8,2007.1,41.88106937422222,-87.68530755272025,0,30.410606060606057,169232.56515151515,152870.39090909093,41.88,-87.69,Greenhouse Gas
23398,2022,EDGEWATER,Supermarket/Grocery Store,55883.0,2015.0,9448547.9,8000800.4,1669.5,41.9911817534467,-87.6601550832236,0,29.874917237800407,169077.32047313137,143170.55991983254,41.99,-87.67,Greenhouse Gas
20964,2022,SOUTH LAWNDALE,Supermarket/Grocery Store,74000.0,2006.0,11664255.5,12227980.2,2185.8,41.85210065324028,-87.68905111060724,1,29.53783783783784,157625.07432432432,165242.97567567567,41.85,-87.69,Greenhouse Gas
23225,2022,MORGAN PARK,Supermarket/Grocery Store,61567.0,2008.0,9058190.8,10277600.0,1739.0,41.680332205334544,-87.66258467873885,0,28.24565107931197,147127.37018207807,166933.58455016484,41.68,-87.67,Greenhouse Gas
22596,2022,NEAR NORTH SIDE,Laboratory,418826.0,2004.0,59273772.8,59490899.7,10967.0,41.895692401410514,-87.62014286048188,0,26.18509834632998,141523.62269773128,142042.04060874923,41.89,-87.63,Greenhouse Gas
21313,2022,NEAR WEST SIDE,Supermarket/Grocery Store,71373.0,2013.0,8888832.8,12942298.9,1858.2,41.864521193743535,-87.63930409963562,0,26.035055273002396,124540.55174926094,181333.26187774088,41.86,-87.64,Greenhouse Gas
22012,2022,CHATHAM,Supermarket/Grocery Store,70022.0,1974.0,10026141.0,8379799.9,1765.7,41.7361451282369,-87.62691784397349,1,25.216360572391533,143185.5845305761,119673.81537231157,41.73,-87.63,Greenhouse Gas
23150,2022,NEAR WEST SIDE,Hospital (General Medical & Surgical),1596300.0,2002.0,170046861.2,323922552.7,39602.7,41.87397053559738,-87.67405590656415,0,24.809058447660213,106525.62876652257,202920.84990290043,41.87,-87.68,Greenhouse Gas
23933,2022,NORTH CENTER,Supermarket/Grocery Store,55600.0,2002.0,7306726.2,7832199.4,1378.4,41.943187373182425,-87.68830202070191,0,24.79136690647482,131415.93884892086,140866.89568345324,41.94,-87.69,Greenhouse Gas
24338,2022,NEAR NORTH SIDE,Retail Store,209374.0,1996.0,33988213.3,13231193.4,5179.5,41.89259322553828,-87.6243340479495,0,24.73802859953958,162332.54033452098,63194.061344770606,41.89,-87.63,Greenhouse Gas
23315,2022,WEST TOWN,Retail Store,52424.0,1990.0,8012164.6,4459611.7,1292.2,41.906243703084954,-87.6698622812847,0,24.64901571799176,152833.90431863267,85068.13100869831,41.9,-87.67,Greenhouse Gas
23125,2022,NEAR NORTH SIDE,Laboratory,186610.0,1978.0,18844881.9,37282688.0,4462.4,41.8954035994735,-87.62048260764325,0,23.912973581265742,100985.38074058195,199789.33604844328,41.89,-87.63,Greenhouse Gas
20939,2022,WEST TOWN,Supermarket/Grocery Store,65000.0,2008.0,7513697.7,10313899.6,1537.5,41.88891817356032,-87.64447797292972,0,23.653846153846153,115595.34923076924,158675.37846153846,41.88,-87.65,Greenhouse Gas
22959,2022,HYDE PARK,Laboratory,72388.0,1929.0,6424491.2,320.0,1699.3,41.79005189854238,-87.60112727852281,0,23.47488534011162,88750.77637177434,4.420622202575013,41.79,-87.61,Greenhouse Gas
21932,2022,NEAR WEST SIDE,Office,57251.0,1984.0,9217557.9,2283055.3,1335.3,41.88256340920652,-87.6475357633755,0,23.32361006794641,161002.56589404552,39877.99863757838,41.88,-87.65,Greenhouse Gas
22618,2022,HYDE PARK,Laboratory,67092.0,2017.0,2384288.0,5168.0,1542.1,41.7930873358478,-87.60250433853294,0,22.98485661479759,35537.5901746855,77.02855780122816,41.79,-87.61,Greenhouse Gas
21099,2022,LINCOLN PARK,Supermarket/Grocery Store,85209.0,2013.0,10360200.0,11176499.3,1958.2,41.92787172311833,-87.67325881463049,0,22.981140489854358,121585.74798436784,131165.71371568734,41.92,-87.68,Greenhouse Gas
20997,2022,LOOP,Hotel,144036.0,1907.0,13336595.5,26575349.5,3277.6,41.88092403509479,-87.62493419985192,0,22.755422255547224,92592.09850315198,184504.9119664528,41.88,-87.63,Greenhouse Gas
23951,2022,GRAND BOULEVARD,Hospital (General Medical & Surgical),373995.0,1981.0,38780029.2,62907044.6,8449.2,41.802238709769085,-87.61399572714086,1,22.591745878955603,103691.3038944371,168202.9027126031,41.8,-87.62,Greenhouse Gas
24151,2022,LOOP,Office,53053.0,1872.0,8956365.8,69872.7,1183.4,41.88527795660976,-87.62778287517119,0,22.305995890901553,168819.21474751664,1317.035794394285,41.88,-87.63,Greenhouse Gas
23874,2022,NEAR NORTH SIDE,Supermarket/Grocery Store,66570.0,2013.0,9863618.0,3353900.0,1477.3,41.90388396114024,-87.63943720155201,0,22.19167793300285,148169.11521706477,50381.55325221571,41.9,-87.64,Greenhouse Gas
