,year,property_type,Electricity,Gas,Greenhouse Gas
0,2014,Adult Education,31631.532360307985,16835.41544265438,7.249373821082903
1,2014,Automobile Dealership,40983.196363636365,20871.716363636362,9.341818181818182
2,2014,College/University,52426.12792144616,87571.56604372339,15.600940219524336
3,2014,Convention Center,52517.62743429577,37227.30874052887,12.528807777935095
4,2014,Courthouse,38051.58824361155,56665.86758301843,10.654664845378612
5,2014,Enclosed Mall,43647.43174603175,44576.09841269841,11.136507936507936
6,2014,Financial Office,64630.719628061,18712.183405677584,13.978717286044247
7,2014,Fitness Center/Health Club/Gym,124156.66160248365,128443.43087390183,31.765638417332717
8,2014,Hospital (General Medical & Surgical),91895.27076189936,149457.26744432418,26.803904331190573
9,2014,K-12 School,33984.22913303364,57174.92447729562,9.864663442488192
10,2014,Medical Office,118674.21333333333,355.55555555555554,23.862222222222222
11,2014,Mixed Use Property,41349.0292663617,42352.71391080231,10.809992799236923
12,2014,Museum,64734.5350477442,91655.8614757348,17.863234731785102
13,2014,Office,53587.1791796815,34731.660032638225,12.809863527763282
14,2014,Other - Entertainment/Public Assembly,72174.64557416041,59840.83526828133,17.679446762187027
15,2014,Prison/Incarceration,43419.309866044736,87774.79944102226,13.386057763472518
16,2014,Retail Store,35400.09100109896,41697.52396651854,9.327069677738828
17,2014,Strip Mall,73117.12162799282,68631.91441927101,18.336117070460833
18,2015,Adult Education,42185.59272054003,45659.99799749668,10.900603130983882
19,2015,Automobile Dealership,56528.97196170196,36137.6780983581,13.280518700518702
20,2015,Bank Branch,55396.21327072447,61643.67450222463,14.402350623306514
21,2015,College/University,51826.84830703581,56683.00161486064,13.877292355834486
22,2015,Convention Center,50822.428245688934,32369.377068408463,11.930127341005457
23,2015,Courthouse,42237.69771235765,43173.93017127241,10.778447138853856
24,2015,Enclosed Mall,87857.13584947708,85462.32878019246,22.996617370367805
25,2015,Financial Office,62657.89999811237,25724.627504696196,13.952697692578893
26,2015,Fitness Center/Health Club/Gym,74743.47586929565,71989.06137767763,19.443862421704708
27,2015,Hospital (General Medical & Surgical),88171.26385845472,142102.69216951763,25.473270355914234
28,2015,Hotel,56675.31878100826,67461.98771631421,15.318913754159363
29,2015,Indoor Arena,11958.09375,12606.942708333334,3.071875
30,2015,K-12 School,26788.547851366155,50125.72558409324,8.054401728125647
31,2015,Laboratory,213568.43332908346,185736.02755698454,69.04354769505335
32,2015,Library,59089.76882916281,42834.47666512203,14.145951498300896
